model,accuracy,f1_macro
Linear SVC,0.731378763866878,0.5638307704491053
RBF SVC (baseline),0.6410459587955626,0.5763714270208923
RBF SVC (tuned),0.713946117274168,0.6671203143876263
PCA + RBF SVC,0.6576862123613312,0.5992387109267676
PCA + RBF SVC (tuned),0.661648177496038,0.6046907939705018
